Household,Family Size,Location,Ownership,First Income,Second Income,Monthly Payment,Utilities,Debt
483,2,4,1,37450,21464,618,248,3098
484,1,3,0,47244,,638,196,2896
485,3,3,0,57525,29514,1001,213,3436
486,3,4,1,33919,31371,713,259,4619
487,3,1,1,50643,37465,1436,261,5744
488,1,3,0,26610,,999,197,1629
489,5,2,1,52656,30422,747,266,6447
490,2,3,1,49255,35491,1280,253,4684
491,3,4,0,31142,18969,400,218,3409
492,5,1,1,39189,24834,1067,275,6570
493,3,4,0,46379,26253,484,215,1458
494,1,3,1,42313,,883,248,3132
495,2,1,1,46828,39596,1032,246,6001
496,3,1,0,42758,34067,1184,197,3194
497,5,2,1,66397,54716,990,274,8400
498,2,2,1,43599,33364,1603,253,5675
499,4,4,1,25713,,831,266,4879
500,1,4,1,39187,,948,251,3278
